MarketingNeighborhoodParcelId,ParcelNumber,CountyId,NoticeValue,FinalValue,Neighborhood,AverageReductionPercent,ParcelAddress,PotentialReduction,PotentialSavings,HashCode,CalculationValue,TaxRate,ParcelCity,ParcelState,ParcelZip,StreetNumber,StreetName,StreetPrefix,StreetSuffix,CreatedBy,CreatedDate,UpdatedBy,UpdatedDate,RowversionTime
1,213394,227,650233,650233,D0680,0.0812,4321 AIRPORT BLVD,52000,1040,B47466CF0,48440438000,2,Austin,TX,78722,4321,AIRPORT,,BLVD,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE6363F5
2,213556,227,759369,759369,D0680,0.0812,4505 ROWOOD RD,61000,1220,B49778D60,48477212000,2,Austin,TX,78722,4505,ROWOOD,,RD,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE6363F6
3,213559,227,650856,650856,D0680,0.0812,4511 ROWOOD RD,52000,1040,B4981F188,48477893000,2,Austin,TX,78722,4511,ROWOOD,,RD,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE6363F7
4,213565,227,606062,606062,D0680,0.0812,1412 BENTWOOD RD,49000,980,B4996B9D8,48479255000,2,Austin,TX,78722,1412,BENTWOOD,,RD,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE6363F8
5,213566,227,600573,600573,D0680,0.0812,1410 BENTWOOD RD,48000,960,B499A3090,48479482000,2,Austin,TX,78722,1410,BENTWOOD,,RD,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE6363F9
6,213570,227,617543,617543,D0680,0.0812,1418 FAIRWOOD RD,50000,1000,B49A80B70,48480390000,2,Austin,TX,78722,1418,FAIRWOOD,,RD,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE6363FA
7,213573,227,619724,619724,D0680,0.0812,1415 FAIRWOOD RD,50000,1000,B49B26F98,48481071000,2,Austin,TX,78722,1415,FAIRWOOD,,RD,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE6363FB
8,215028,227,672903,672903,D0680,0.0812,4504 ELWOOD RD,54000,1080,B5D622F60,48811356000,2,Austin,TX,78722,4504,ELWOOD,,RD,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE6363FC
9,215052,227,704333,704333,D0680,0.0812,1312 NORWOOD RD,57000,1140,B5DB550A0,48816804000,2,Austin,TX,78722,1312,NORWOOD,,RD,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE6363FD
10,215057,227,698781,698781,D0680,0.0812,1302 NORWOOD RD,56000,1120,B5DC6A238,48817939000,2,Austin,TX,78722,1302,NORWOOD,,RD,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE6363FE
11,215068,227,693976,693976,D0680,0.0812,4610 ELWOOD RD,56000,1120,B5DECBC20,48820436000,2,Austin,TX,78722,4610,ELWOOD,,RD,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE6363FF
12,215073,227,631953,631953,D0680,0.0812,4600 ELWOOD RD,51000,1020,B5DFE0DB8,48821571000,2,Austin,TX,78722,4600,ELWOOD,,RD,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636401
13,215074,227,748212,748212,D0680,0.0812,4501 ELWOOD RD,60000,1200,B5E018470,48821798000,2,Austin,TX,78722,4501,ELWOOD,,RD,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636402
14,215080,227,710177,710177,D0680,0.0812,1209 FAIRWOOD RD,57000,1140,B5E164CC0,48823160000,2,Austin,TX,78722,1209,FAIRWOOD,,RD,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636403
15,215092,227,684932,684932,D0680,0.0812,1300 FERNWOOD RD,55000,1100,B5E3FDD60,48825884000,2,Austin,TX,78722,1300,FERNWOOD,,RD,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636404
16,215099,227,704083,689606,D0680,0.0812,1201 BENTWOOD RD,57000,1140,B5E581C68,48827473000,2,Austin,TX,78722,1201,BENTWOOD,,RD,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636405
17,215108,227,687893,687893,D0680,0.0812,1310 FAIRWOOD RD,55000,1100,B5E7748E0,48829516000,2,Austin,TX,78722,1310,FAIRWOOD,,RD,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636406
18,215121,227,628177,628177,D0680,0.0812,4603 ELWOOD RD,51000,1020,B5EA45038,48832467000,2,Austin,TX,78722,4603,ELWOOD,,RD,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636407
19,215126,227,733161,733161,D0680,0.0812,1207 NORWOOD RD,59000,1180,B5EB5A1D0,48833602000,2,Austin,TX,78722,1207,NORWOOD,,RD,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636408
20,215137,227,602910,602910,D0680,0.0812,1306 BENTWOOD RD,48000,960,B5EDBBBB8,48836099000,2,Austin,TX,78722,1306,BENTWOOD,,RD,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636409
21,215144,227,624748,624748,D0680,0.0812,1206 BENTWOOD RD,50000,1000,B5EF3FAC0,48837688000,2,Austin,TX,78722,1206,BENTWOOD,,RD,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE63640A
22,215145,227,620188,620188,D0680,0.0812,1204 BENTWOOD RD,50000,1000,B5EF77178,48837915000,2,Austin,TX,78722,1204,BENTWOOD,,RD,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE63640B
23,215147,227,749422,749422,D0680,0.0812,4602 PARKWOOD RD,60000,1200,B5EFE5EE8,48838369000,2,Austin,TX,78722,4602,PARKWOOD,,RD,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE63640C
24,215150,227,617136,617136,D0680,0.0812,1405 FAIRWOOD RD,50000,1000,B5F08C310,48839050000,2,Austin,TX,78722,1405,FAIRWOOD,,RD,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE63640D
25,215161,227,674495,674495,D0680,0.0812,1412 FAIRWOOD RD,54000,1080,B5F2EDCF8,48841547000,2,Austin,TX,78722,1412,FAIRWOOD,,RD,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE63640E
26,215162,227,636336,636336,D0680,0.0812,1410 FAIRWOOD RD,51000,1020,B5F3253B0,48841774000,2,Austin,TX,78722,1410,FAIRWOOD,,RD,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE63640F
27,215164,227,735262,735262,D0680,0.0812,1406 FAIRWOOD RD,59000,1180,B5F394120,48842228000,2,Austin,TX,78722,1406,FAIRWOOD,,RD,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636410
28,215167,227,605811,605811,D0680,0.0812,4509 PARKWOOD RD,49000,980,B5F43A548,48842909000,2,Austin,TX,78722,4509,PARKWOOD,,RD,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636411
29,204031,227,624189,624189,D2005,0.0644,2000 CHESTNUT AVE,40000,800,AC8976148,46315037000,2,Austin,TX,78702,2000,CHESTNUT,,AVE,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636412
30,205309,227,778333,778333,D2005,0.0644,3002 BREEZE TER,50000,1000,AD9E20BD8,46605143000,2,Austin,TX,78722,3002,BREEZE,,TER,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636413
31,207010,227,620112,620112,D2005,0.0644,3200 DANCY ST,39000,780,AF0E5E070,46991270000,2,Austin,TX,78722,3200,DANCY,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636414
32,207326,227,601698,601698,D2005,0.0644,1701 E 38 ST,38000,760,AF52C6B90,47063002000,2,Austin,TX,78722,1701,38,E,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636415
33,209213,227,1052908,1052908,D2005,0.0644,1209 E 38 1/2 ST,67000,1340,B0EB481D8,47491351000,2,Austin,TX,78722,1209,38.5,E,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636416
34,209309,227,602589,602589,D2005,0.0644,3817 MAPLEWOOD AVE,38000,760,B100106D8,47513143000,2,Austin,TX,78722,3817,MAPLEWOOD,,AVE,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636417
35,209322,227,710555,710555,D2005,0.0644,4001 MAPLEWOOD AVE,45000,900,B102E0E30,47516094000,2,Austin,TX,78722,4001,MAPLEWOOD,,AVE,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636418
36,210686,227,750832,750832,D2005,0.0644,4012 MAPLEWOOD AVE,48000,960,B22A29A90,47825722000,2,Austin,TX,78722,4012,MAPLEWOOD,,AVE,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636419
37,210693,227,692686,692686,D2005,0.0644,1510 KIRKWOOD RD,44000,880,B22BAD998,47827311000,2,Austin,TX,78722,1510,KIRKWOOD,,RD,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE63641A
38,210701,227,644376,644376,D2005,0.0644,1502 KIRKWOOD RD,41000,820,B22D68F58,47829127000,2,Austin,TX,78722,1502,KIRKWOOD,,RD,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE63641B
39,210737,227,751004,751004,D2005,0.0644,1301 KIRKWOOD RD,48000,960,B23534138,47837299000,2,Austin,TX,78722,1301,KIRKWOOD,,RD,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE63641C
40,210748,227,610042,610042,D2005,0.0644,1403 ASHWOOD RD,39000,780,B23795B20,47839796000,2,Austin,TX,78722,1403,ASHWOOD,,RD,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE63641D
41,210760,227,654399,654399,D2005,0.0644,1507 KIRKWOOD RD,42000,840,B23A2EBC0,47842520000,2,Austin,TX,78722,1507,KIRKWOOD,,RD,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE63641E
42,210777,227,686615,686615,D2005,0.0644,1402 ASHWOOD RD,44000,880,B23DDCDF8,47846379000,2,Austin,TX,78722,1402,ASHWOOD,,RD,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE63641F
43,210779,227,674469,674469,D2005,0.0644,3901 WRIGHTWOOD RD,43000,860,B23E4BB68,47846833000,2,Austin,TX,78722,3901,WRIGHTWOOD,,RD,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636420
44,213407,227,798066,798066,D2005,0.0644,4410 AIRPORT BLVD,51000,1020,B47737448,48443389000,2,Austin,TX,78722,4410,AIRPORT,,BLVD,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636421
45,215089,227,710556,710556,D2005,0.0644,1306 FERNWOOD RD,45000,900,B5E357938,48825203000,2,Austin,TX,78722,1306,FERNWOOD,,RD,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636422
46,204485,227,630374,630374,D3000,0.053,2020 ENCINO CIR,33000,660,ACEBBEB98,46418095000,2,Austin,TX,78723,2020,ENCINO,,CIR,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636423
47,204487,227,639828,639828,D3000,0.053,2016 ENCINO CIR,33000,660,ACEC2D908,46418549000,2,Austin,TX,78723,2016,ENCINO,,CIR,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636424
48,204488,227,675790,675790,D3000,0.053,2014 ENCINO CIR,35000,700,ACEC64FC0,46418776000,2,Austin,TX,78723,2014,ENCINO,,CIR,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636425
49,204489,227,618225,618225,D3000,0.053,2012 ENCINO CIR,32000,640,ACEC9C678,46419003000,2,Austin,TX,78723,2012,ENCINO,,CIR,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636426
50,204495,227,641015,641015,D3000,0.053,2000 ENCINO CIR,33000,660,ACEDE8EC8,46420365000,2,Austin,TX,78723,2000,ENCINO,,CIR,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636427
51,204563,227,986872,986872,D3000,0.053,3401 GRANDE CT,52000,1040,ACFCA17A8,46435801000,2,Austin,TX,78723,3401,GRANDE,,CT,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636428
52,204569,227,657153,657153,D3000,0.053,2104 GREENWOOD AVE A,34000,680,ACFDEDFF8,46437163000,2,Austin,TX,78723,2104,GREENWOOD,,AVE,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636429
53,204570,227,631963,631963,D3000,0.053,2102 GREENWOOD AVE,33000,660,ACFE256B0,46437390000,2,Austin,TX,78723,2102,GREENWOOD,,AVE,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE63642A
54,204610,227,651143,651143,D3000,0.053,2023 ENCINO CIR,34000,680,AD06CE370,46446470000,2,Austin,TX,78723,2023,ENCINO,,CIR,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE63642B
55,204616,227,639060,639060,D3000,0.053,2005 ENCINO CIR,33000,660,AD081ABC0,46447832000,2,Austin,TX,78723,2005,ENCINO,,CIR,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE63642C
56,205489,227,948183,948183,D3000,0.053,2003 GREENWOOD AVE,50000,1000,ADC518538,46646003000,2,Austin,TX,78723,2003,GREENWOOD,,AVE,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE63642D
57,205493,227,925385,925385,D3000,0.053,2015 GREENWOOD AVE,49000,980,ADC5F6018,46646911000,2,Austin,TX,78723,2015,GREENWOOD,,AVE,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE63642E
58,207604,227,841878,841878,D3000,0.053,3710 MANORWOOD RD,44000,880,AF8EF5760,47126108000,2,Austin,TX,78723,3710,MANORWOOD,,RD,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE63642F
59,207617,227,678562,678562,D3000,0.053,3802 TOWER VIEW CT,35000,700,AF91C5EB8,47129059000,2,Austin,TX,78723,3802,TOWER VIEW,,CT,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636430
60,207632,227,753096,753096,D3000,0.053,3700 TOWER VIEW CT,39000,780,AF9505380,47132464000,2,Austin,TX,78723,3700,TOWER VIEW,,CT,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636431
61,824751,227,672738,672738,D3000,0.053,1909 PERSHING DR,35000,700,2B97173FC8,187218477000,2,Austin,TX,78723,1909,PERSHING,,DR,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636432
62,835262,227,911449,911449,D3000,0.053,1916 E M FRANKLIN AVE 23B,48000,960,2C254EAC90,189604474000,2,Austin,TX,78723,1916,E M FRANKLIN,,AVE,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636433
63,835265,227,791427,791427,D3000,0.053,1916 E M FRANKLIN AVE D,41000,820,2C255910B8,189605155000,2,Austin,TX,78723,1916,E M FRANKLIN,,AVE,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636434
64,911451,227,1063143,1063143,D3000,0.053,2106 E M FRANKLIN AVE,56000,1120,302C29F368,206899377000,2,Austin,TX,78723,2106,E M FRANKLIN,,AVE,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636435
65,731888,227,1483887,1483887,D3790,0.0601,4301 CAMACHO ST,89000,1780,26AEA17C80,166138576000,2,Austin,TX,78723,4301,CAMACHO,,ST,1000,2024-12-19 13:12:31,1000,2024-12-19 13:12:31,0x00000002CE636436
